ontology languages,1,0,1,semantic
social bookmarking,1,0,1,semantic
automatic speech recognition,1,0,1,semantic
meta-model,1,0,1,semantic
web services repositories,1,0,1,semantic
health care,1,0,1,semantic
internet gis,1,0,1,semantic
voice browser,1,0,1,semantic
qualitative research,1,0,1,semantic
web form mapping,1,0,1,semantic
cognition,1,0,1,semantic
web architecture,1,0,1,semantic
personalization,1,0,1,semantic
personalized search,1,0,1,semantic
bayesian network,1,0,1,semantic
ontologies,1,0,1,semantic
bm25f,1,0,1,semantic
social network,1,0,1,semantic
mediawiki,1,0,1,semantic
xml,1,0,1,semantic
visualization,1,0,1,semantic
data retrieval,1,0,1,semantic
classification,1,0,1,semantic
bench-marking,1,0,1,semantic
temporal information retrieval,1,0,1,semantic
temporal expressions,1,0,1,semantic
keyword expansion,1,0,1,semantic
time semantics extraction,1,0,1,semantic
semantic e-learning,1,0,1,semantic
semantic locality,1,0,1,semantic
indices,1,0,1,semantic
index model,1,0,1,semantic
domain-independent,1,0,1,semantic
dokuwiki,1,0,1,semantic
knowledge management,1,0,1,semantic
information extraction,1,0,1,semantic
conjunctive queries,1,0,1,semantic
topical semantic similarity,1,0,1,semantic
interconnection semantics,1,0,1,semantic
social networks,1,0,1,semantic
video search,1,0,1,semantic
statistical modeling,1,0,1,semantic
ontology,1,0,1,semantic
temporal expressions recognition and normalization,1,0,1,semantic
domain model,1,0,1,semantic
description logics,1,0,1,semantic
rdf,1,0,1,semantic
expert search,1,0,1,semantic
wikis,1,0,1,semantic
peer search,1,0,1,semantic
inference,1,0,1,semantic
performance evaluation,1,0,1,semantic
query word,1,0,1,semantic
domain resources,1,0,1,semantic
rank,1,0,1,semantic
small-world networks,1,0,1,semantic
content labeling,1,0,1,semantic
video search & retrieval,1,0,1,semantic
inductive reasoning,1,0,1,semantic
fuzzy description logic,1,0,1,semantic
path similarity,1,0,1,semantic
reasoning rules,1,0,1,semantic
expressive semantics,1,0,1,semantic
wisdom of crowds,1,0,1,semantic
ontology mapping,1,0,1,semantic
eigenvector,1,0,1,semantic
usability,1,0,1,semantic
links,1,0,1,semantic
semantic threads,1,0,1,semantic
re-ranking,1,0,1,semantic
relationship analysis,1,0,1,semantic
documents,1,0,1,semantic
social semantic web,1,0,1,semantic
performance measure,1,0,1,semantic
enterprise search,1,0,1,semantic
video indexing,1,0,1,semantic
summarization,1,0,1,semantic
fuzzy reasoning,1,0,1,semantic
vocabulary semantic net,1,0,1,semantic
eureka,1,0,1,semantic
geotime,1,0,1,semantic
geographic markup,1,0,1,semantic
temporal search,1,0,1,semantic
geographic and temporal search,1,0,1,semantic
geographic information retrieva,1,0,1,semantic
geographic and temporal facet,1,0,1,semantic
concept,1,0,1,semantic
semantic network,1,0,1,semantic
content abstraction,1,0,1,semantic
patent mapping,1,0,1,semantic
semantic extraction,1,0,1,semantic
corpus linguistics,1,0,1,semantic
meaningful-feature selection,1,0,1,semantic
owl-s,1,0,1,semantic
query refinement,1,0,1,semantic
world wide web,1,0,1,semantic
syntactic features,1,0,1,semantic
molecular biology databases,1,0,1,semantic
structure based information,1,0,1,semantic
ontology development,1,0,1,semantic
semantic distance,1,0,1,semantic
multimedia retrieval,1,0,1,semantic
geographic information retrieval,1,0,1,semantic
query matching,1,0,1,semantic
mpeg query format,1,0,1,semantic
semantic link,1,0,1,semantic
semantic tree,1,0,1,semantic
set expansion,1,0,1,semantic
educational hypermedia,1,0,1,semantic
software architecture,1,0,1,semantic
dynamic semantics,1,0,1,semantic
product data management,1,0,1,semantic
effective,1,0,1,semantic
video retrieval,1,0,1,semantic
task-based,1,0,1,semantic
search algorithms,1,0,1,semantic
socially constructed knowledge repository,1,0,1,semantic
entity-centric,1,0,1,semantic
personal photos and video,1,0,1,semantic
visual analytics,1,0,1,semantic
cube-clustering,1,0,1,semantic
the open directory project,1,0,1,semantic
key-phrase extraction,1,0,1,semantic
structured data search,1,1,1,semantic
visual feature,1,0,1,semantic
government data,1,0,1,semantic
query clustering,1,0,1,semantic
media archiving,1,0,1,semantic
visual information retrieval,1,0,1,semantic
