Preliminary Analysis of a Legged Robot Designed to Climb Vertical Surfaces,"Y Li, A Ahmed, C Wu, C Menon",1,1,0
Fuzzy Logic Control Design for a Stair-Climbing Robot,"M S Wang, Y S Kung, Y M Tu",1,1,0
Quantification of dynamic property of pneumatic muscle actuator for designof therapeutic robot control,"S Balasubramanian, H Huang, J P He",1,0,0
Dynamic neural-fuzzy control of a wall-climbing robot system,"S R Yan, S K Tso",1,0,1
Development of a robotic walking simulator for gait rehabilitation,"H Schmidt, D Sorowka, S Hesse, R Bernhardt",1,0,1
Innovative service robot systems for facade cleaning of difficult-to-access areas,"N Elkmann, T Felsch, M Sack, J Saenz, J Hortig",1,0,1
BIOLOGICALLY INSPIRED DESIGN OF A GLASS CLIMBING ROBOT FOR REMOTE SERVICES,"M AK Jaradat, S M Ashour, A A Matalkh, M M Elayyan, A M Hammadneh",1,0,1
Idea of wheel-legged robot and its control system design,"J Szrek, P Wojtowicz",1,1,0
A controller design for the Khepera robot: A rough set approach,"Z Suraj, J F Peters, P Grochowalski",1,0,1
DESIGN AND SAFETY ANALYSIS OF A PORTABLE CLIMBING ROBOT,"B BAHR, F WU",1,1,0
Wheel-Based Climbing Robot: Modeling and Control,"E Noohi, S S Mahdavi, A Baghani, M N Ahmadabadi",1,1,0
Design and control of a spherical mobile robot,"J Alves, J Dias",1,0,1
The structured design of an industrial robot controller,"G Ferretti, G Magnani, P Putz, P Rocco",1,0,1
Political Theory as Profession and as Subfield?,T V Kaufman-Osborn,0,0,0
Qualitative methods - The view from the subfields,"A Bennett, C Elman",0,0,0
Quality of life and the human becoming theory: Exploring discipline-specific contributions,"J Daly, G J Mitchell, C M JonasSimpson",0,0,0
"Human-computer interaction: A stable discipline, a nascent science, and the growth of the long tail",A Dix,0,0,0
Digital Investigation as a distinct discipline: A pedagogic perspective,"A D Irons, P Stephens, R I Ferguson",0,0,0
"The founding of the American Political Science Association: Discipline, profession, political theory, and politics",J G Gunnell,0,0,0
"A classification scheme for discipline: Type, mode of administration, context",R RS Socolar,0,0,0
Faculty turnover: Discipline-specific attention is warranted,Y HJ Xu,0,0,0
"Engineering Education Research: Discipline, Community, or Field?","B K Jesiek, L K Newswander, M Borrego",0,0,0
"INDIVIDUAL ISSUES IN INDUSTRIAL-RELATIONS - AN EXAMINATION OF DISCIPLINE, AND AN AGENDA FOR RESEARCH",D ROLLINSON,0,0,0
"Power assertive discipline, maternal emotional involvement, and child adjustment","N R Towe-Goodman, D M Teti",0,0,0
Does Subordinated Debt Play a Role for Market Discipline? Evidence from Commercial Banks in Taiwan,"C Y Wang, Y F Chen, G S Tung",0,0,0
Views From a Meta-discipline: The Systems Approach in Research,C Welch,0,0,0
The identity crisis within the is discipline: Defining and communicating the discipline's core properties,"I Benbasat, R W Zmud",0,0,0
How do academics come to know? The structure and contestation of discipline-specific knowledge in a Design school,"A F Cliff, R Woodward",0,0,0
"Discipline, compassion and monastic ideals of community, c.950-1250",K A Smith,0,0,0
"Parenting Practices and Problem Behavior Across Three Generations: Monitoring, Harsh Discipline, and Drug Use in the Intergenerational Transmission of Externalizing Behavior","J A Bailey, K G Hill, S Oesterle, J D Hawkins",0,0,0
Analogues of power - Reading psychotherapy through the sovereignty-discipline-government complex,D Hook,0,0,0
The sociology of a not so international discipline: American and European developments in international relations,O Waever,0,0,0
Market price accounting and depositor discipline: The case of Japanese regional banks,"M M Spiegel, N Yamori",0,0,0
DNA of biological engineering: An engineering discipline?,N R Scott,0,0,0
A framework for market discipline in bank regulatory design,"P Hamalainen, M Hall, B Howcroft",0,0,0
"A framework for market discipline in bank regulatory design (Retracted article. See vol. 36, pg. 1039, 2009)","P Hamalainen, M Hall, B Howcroft",0,0,0
Consistency in employee discipline: an empirical exploration,N Cole,0,0,0
