structured data search,1,1,1
category search,1,1,1
entity,1,1,1
search results,1,1,0
search,1,1,0
search engine,1,1,0
semantic web,1,1,0
semantic relationship,1,1,0
semantic search,1,1,0
semantic web technologies,1,1,0
web application,1,1,0
retrieval,1,1,0
semantic search engine,1,1,0
information retrieval,1,1,0
indexing,1,1,0
semantic similarity association,1,1,0
keyword search,1,1,0
document retrieval,1,1,0
exploratory search,1,1,0
evaluation,1,1,0
semantic indexing,1,1,0
linked data,1,1,0
semantic query,1,1,0
search and retrieval,1,1,0
semantic web search,1,1,0
semantic video search,1,1,0
semantic documents,1,1,0
semantic portal,1,1,0
image and video search,1,1,0
ontology retrieval,1,1,0
database approach to retrieval,1,1,0
semantic web portal,1,1,0
ontology extraction,1,1,0
semantic classification,1,1,0
web resources,1,1,0
semantic modeling,1,1,0
web search,1,1,0
semantic,1,1,0
semantic annotation,1,1,0
content based retrieval,1,1,0
semantic technologies,1,1,0
query-by-semantic-description,1,1,0
semantic retrieval,1,1,0
semantic-based image retrieval,1,1,0
content-based music information retrieval,1,1,0
semantic level indices,1,1,0
recommendation system,1,1,0
intelligent retrieval,1,1,0
multi-facet search,1,1,0
patent semantic search,1,1,0
content managernent,1,1,0
semantic information retrieval,1,1,0
view-based search,1,1,0
semantic web applications,1,1,0
smart web query engine,1,1,0
web search engine,1,1,0
intelligent search,1,1,0
ranking complex relationships,1,1,0
semantic similarity,1,1,0
information search and retrieval,1,1,0
probabilistic information retrieval,1,1,0
knowledge based query expansion,1,1,0
plsi,1,1,0
content-based image retrieval,1,1,0
interactive ir,1,1,0
concept-based retrieval,1,1,0
information need,1,1,0
topic detection and tracking,1,1,0
web technology,1,1,0
interoperability,1,1,0
information integration,1,1,0
semantic relation and sparql,1,1,0
concept matching,1,1,0
image retrieval methods,1,1,0
content-based retrieval,1,1,0
information retrieval on the internet,1,1,0
reasoning on the semantic web,1,1,0
web pages indexing,1,1,0
web query languages,1,1,0
ontology and the semantic web,1,1,0
ontology technology,1,1,0
web ontologies,1,1,0
heterogeneous data,1,1,0
semantic networks,1,1,0
domain semantics,1,1,0
data integration,1,1,0
keyword-based search,1,1,0
latent semantic indexing,1,1,0
search engines,1,1,0
resource description framework,1,1,0
semantics,1,1,0
semantic video retrieval,1,1,0
semantic associations,1,1,0
semantic analysis,1,1,0
topical segmentation,1,1,0
content search,1,1,0
opinion mining,1,1,0
semantic computing,1,1,0
semantic enrichment,1,1,0
ranking strategies,1,1,0
semantic similarity measures,1,1,0
semantic image analysis,1,1,0
annotation,1,1,0
spaces of semantics and data,1,1,0
semantic applications,1,1,0
information resource management,1,1,0
information seeking,1,1,0
semantic web mining,1,1,0
intelligence analysis,1,1,0
folksonomy,1,1,0
semantic adaptive systems,1,1,0
semantic web support applications,1,1,0
semantic web technology,1,1,0
identity disambiguation,1,1,0
multimedia web information systems,1,1,0
recommender systems,1,1,0
semantic representation,1,1,0
semantic matching,1,1,0
web data extraction,1,1,0
data aggregation,1,1,0
information processing,1,1,0
web passage retrieval,1,1,0
formal semantics,1,1,0
concept search,1,1,0
knowledge representation and reasoning,1,1,0
structural semantics,1,1,0
probabilistic latent semantic analysis,1,1,0
semantic relations,1,1,0
topic modelling,1,1,0
topic model,1,1,0
language technology,1,1,0
semantic pattern,1,1,0
automatic image annotation,1,1,0
knowledge representation,1,1,0
content-based,1,1,0
similarity search,1,1,0
semantic summary,1,1,0
semantic associations search,1,1,0
semantic ranking,1,1,0
semantic match,1,1,0
semantic relationship search,1,1,0
knowledge retrieval,1,1,0
document annotation,1,1,0
semantic search techniques,1,1,0
query expansion,1,1,0
interactive retrieval models,1,1,0
lexical cohesion,1,1,0
similarity measurement,1,1,0
term similarity,1,1,0
natural language semantics,1,1,0
search results clustering,1,1,0
topic ranking,1,1,0
topic detection,1,1,0
image browsing,1,1,0
searching,1,1,0
rich media,1,1,0
internet search,1,1,0
semantic multimedia management,1,1,0
semantic-based information retrieval,1,1,0
concept indexing,1,1,0
semantic matchmaking,1,1,0
semantic-based video retrieval,1,1,0
semantic-driven annotation,1,1,0
semantic information,1,1,0
semantic-based modelling,1,1,0
semantic processing,1,1,0
latent semantic analysis,1,1,0
semantic relationships,1,1,0
search system,1,1,0
latent semantic map,1,1,0
language modeling,1,1,0
linguistic analysis of web text,1,1,0
differential latent semantic index space,1,1,0
annotation-based queries,1,1,0
semantic index,1,1,0
semantic gap,1,1,0
semantic similarity measurement,1,1,0
web semantics,1,1,0
semantic similarity degree,1,1,0
search enhancement,1,1,0
semantic queries,1,1,0
semantic querying,1,1,0
semantic relatedness metrics,1,1,0
semantic relevance,1,1,0
semantic metadata,1,1,0
semantic geographical information retrieval,1,1,0
cognitive semantics,1,1,0
semantic contextualization and profiling,1,1,0
semantic association,1,1,0
image semantic,1,1,0
semantic indexing document network,1,1,0
semantic context,1,1,0
image similarity computation,1,1,0
image representation,1,1,0
semantic content analysis,1,1,0
semantic access,1,1,0
concept-based video indexing,1,1,0
concept-based video retrieval,1,1,0
high-level semantic concepts,1,1,0
concept detection,1,1,0
high-level semantics,1,1,0
semantic features,1,1,0
content based image retrieval,1,1,0
image similarity,1,1,0
multimedia content modeling,1,1,0
multimedia content retrieval,1,1,0
semantic content identification,1,1,0
semantic feature,1,1,0
annotation based image retrieval,1,1,0
image indexing and retrieval,1,1,0
ontology-based image retrieval,1,1,0
semantic inference,1,1,0
semantic image retrieval,1,1,0
multimedia content semantics,1,1,0
semantic clustering,1,1,0
semantic space,1,1,0
rbir,1,1,0
semantic image classification,1,1,0
cbir,1,1,0
semantic-theme-based video retrieval,1,1,0
ontology languages,1,0,1
social bookmarking,1,0,1
automatic speech recognition,1,0,1
meta-model,1,0,1
web services repositories,1,0,1
health care,1,0,1
internet gis,1,0,1
voice browser,1,0,1
qualitative research,1,0,1
web form mapping,1,0,1
cognition,1,0,1
web architecture,1,0,1
personalization,1,0,1
